지 역,,,18년 01,18년 02,전분기대비,18년 03,전분기대비,18년 04,전분기대비,19년 01,전분기대비,19년 02,전분기대비,19년 03,전분기대비,19년 04,전분기대비,20년 01,전분기대비,20년 02,전분기대비,20년 03,전분기대비,20년 04,전분기대비,21년 01,전분기대비,,전년대비,,,,,,,,
경기,구리시,,1,1.8,0.8,5,3.2,10.1,5.1,10,-0.1,9.5,-0.5,12.1,2.6,15.1,3.0,22.6,7.5,35.1,12.5,44.5,9.4,52.4,7.9,61.7,9.3,,8.9,,,,34.6,,,,23.5
경기,남양주시,,-1,-2,-1.0,-0.9,1.1,0.5,1.4,-0.3,-0.8,-0.8,-0.5,-0.7,0.1,0.4,1.1,3.1,2.7,9.6,6.5,20.7,11.1,30.5,9.8,48.3,17.8,,9,,,,12.6,,,,39.1
경기,오산시,,-2.9,-6.2,-3.3,-7.2,-1.0,-6.8,0.4,-9.8,-3.0,-10.7,-0.9,-11.4,-0.7,-11.3,0.1,-7.3,4.0,1.8,9.1,6.9,5.1,12.3,5.4,23.4,11.1,,0.7,,,,3.4,,,,45.2
경기,시흥시,,-3,-5.1,-2.1,-4.2,0.9,-4.6,-0.4,-6.4,-1.8,-7.9,-1.5,-9.1,-1.2,-8.9,0.2,-4.8,4.1,0,4.8,2.6,2.6,5.7,3.1,16.1,10.4,,-6.9,,,,2.5,,,,30.7
경기,군포시,,-1.1,-2.8,-1.7,0.8,3.6,4.2,3.4,1.7,-2.5,-0.5,-2.2,-0.3,0.2,0.4,0.7,8.5,8.1,17.9,9.4,21.1,3.2,23.9,2.8,36.4,12.5,,-3.4,,,,1.6,,,,20.9
경기,의왕시,,1.9,4.6,2.7,7.8,3.2,11,3.2,5.6,-5.4,3.8,-1.8,6,2.2,10.5,4.5,19.3,8.8,28.2,8.9,33.9,5.7,40.9,7.0,59.2,18.3,,2.8,,,,6.8,,,,27.9
경기,하남시,,3.7,8.3,4.6,12.7,4.4,16.2,3.5,9.7,-6.5,6.6,-3.1,11.4,4.8,18.8,7.4,28,9.2,38.1,10.1,51.3,13.2,62.2,10.9,72.8,10.6,,3.7,,,,13.7,,,,39.9
경기,용인시,,0.7,3.3,2.6,6.2,2.9,9.8,3.6,7.1,-2.7,6.1,-1.0,7,0.9,9.5,2.5,16.8,7.3,25.5,8.7,36.2,10.7,48.8,12.6,64.3,15.5,,6,,,,18.3,,,,44.8
경기,,처인구,-1.4,-2.7,-1.3,-3.3,-0.6,-4.2,-0.9,-4.7,-0.5,-4.1,0.6,-3.9,0.2,-4.1,-0.2,-2.7,1.4,0,2.7,3.7,3.7,9.9,6.2,20.1,10.2,,6.4,,,,9.7,,,,47.5
경기,,기흥구,-0.9,0.5,1.4,3.6,3.1,6.3,2.7,4.5,-1.8,3.7,-0.8,4.4,0.7,6.3,1.9,13.2,6.9,23.3,10.1,35.7,12.4,50,14.3,65.4,15.4,,-3.3,,,,2,,,,22.8
경기,,수지구,2.8,7.2,4.4,11,3.8,17.2,6.2,13.4,-3.8,11.3,-2.1,12.7,1.4,17,4.3,27.3,10.3,37,9.7,49,12.0,63.2,14.2,82.6,19.4,,5.4,,,,8.7,,,,52.2
경기,파주시,,-0.1,-0.8,-0.7,-2.4,-1.6,-3.4,-1.0,-4.4,-1.0,-5.3,-0.9,-5.7,-0.4,-6.8,-1.1,-6.9,-0.1,-6,0.9,-3.4,2.6,8.1,11.5,18.8,10.7,,10.6,,,,13.9,,,,55.3
경기,이천시,,-0.3,-0.6,-0.3,-1.7,-1.1,-3.7,-2.0,-4.9,-1.2,-5.3,-0.4,-6.3,-1.0,-6.2,0.1,-5.9,0.3,-5.2,0.7,-4.2,1.0,-3.4,0.8,-0.3,3.1,,-4.3,,,,-2.5,,,,25.7
경기,안성시,,-1.9,-6.6,-4.7,-10.9,-4.3,-13.7,-2.8,-16.7,-3.0,-18.4,-1.7,-19.7,-1.3,-21,-1.3,-18.5,2.5,-15.4,3.1,-14.5,0.9,-12.3,2.2,-6.7,5.6,,-4.6,,,,-1,,,,5.6
경기,김포시,,0.7,-0.2,-0.9,-0.1,0.1,0.6,0.7,-0.2,-0.8,-1,-0.8,-1.1,-0.1,-0.4,0.7,-0.2,0.2,1.5,1.7,7.1,5.6,24.1,17.0,46.6,22.5,,-14.8,,,,-1.8,,,,11.8
경기,화성시,,-1.6,-0.7,0.9,0.5,1.2,1.5,1.0,-1.6,-3.1,-3.4,-1.8,-3.8,-0.4,-2.2,1.6,6.5,8.7,17.3,10.8,24.3,7.0,31.4,7.1,42.2,10.8,,-0.9,,,,0,,,,46.8
경기,광주시,,-1.2,-2.9,-1.7,-2.3,0.6,-2.4,-0.1,-3,-0.6,-3.1,-0.1,-4.1,-1.0,-3,1.1,-1.8,1.2,2.2,4.0,9.9,7.7,20,10.1,34.5,14.5,,0,,,,8.1,,,,35.7
경기,양주시,,-0.1,-1,-0.9,-1.9,-0.9,-2.1,-0.2,-2,0.1,-3.6,-1.6,-3.9,-0.3,-3.2,0.7,-1.8,1.4,-0.7,1.1,0.5,1.2,5.4,4.9,26.8,21.4,,-1.8,,,,1.2,,,,36.3
경기,포천시,,-1.3,-2.8,-1.5,-3.2,-0.4,-1.8,1.4,-4.5,-2.7,-3.8,0.7,-4.4,-0.6,-4.7,-0.3,-4.8,-0.1,-4.2,0.6,-3.7,0.5,-2.9,0.8,0.9,3.8,,-1.9,,,,0.2,,,,28.6
경기,여주시,,-1.1,-2.3,-1.2,-4,-1.7,-5.5,-1.5,-7,-1.5,-8.5,-1.5,-10,-1.5,-12.9,-2.9,-12.8,0.1,-12.2,0.6,-10.6,1.6,-11.8,-1.2,-7.4,4.4,,-3.2,,,,-0.3,,,,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,,,,-5.8,,,,5.4
