,address,Latitude,Longitude
99,서울특별시 강남구 언주로 107,37.48359518,127.0519307
100,서울특별시 강남구 언주로 110,37.48541081,127.0547048
101,서울특별시 강남구 언주로 117,37.48645375,127.0503989
102,서울특별시 강남구 언주로 118,37.48691597,127.0518555
103,서울특별시 강남구 언주로 123,37.48760335,127.0497551
104,서울특별시 강남구 언주로 203,37.48916978,127.0488278
105,서울특별시 강남구 언주로 332,37.49822233,127.0473954
106,서울특별시 강남구 언주로 420,37.50096264,127.0441686
107,서울특별시 강남구 언주로 427,37.50147648,127.0426905
108,서울특별시 강남구 언주로 604,37.50953032,127.0384212
109,서울특별시 강남구 언주로116길 6,37.51047984,127.0371833
110,서울특별시 강남구 언주로122길 25,37.51281069,127.0384403
111,서울특별시 강남구 언주로130길 30,37.51508569,127.0382684
112,서울특별시 강남구 언주로146길 18,37.52022598,127.0374955
113,서울특별시 강남구 언주로29길 34,37.48626849,127.0475943
114,서울특별시 강남구 언주로30길 10,37.48733867,127.0515539
115,서울특별시 강남구 언주로30길 13,37.48814221,127.0506743
116,서울특별시 강남구 언주로30길 26,37.48776325,127.0525302
117,서울특별시 강남구 언주로30길 56,37.48806952,127.0534832
118,서울특별시 강남구 언주로30길 57,37.48945731,127.0539647
119,서울특별시 강남구 언주로85길 13,37.50056739,127.0423818
120,서울특별시 강남구 언주로86길 11,37.50196686,127.0442676
121,서울특별시 강남구 언주로86길 12,37.50170837,127.0449565
122,서울특별시 강남구 역삼로 109,37.49368552,127.031
123,서울특별시 강남구 역삼로 306,37.49897727,127.0469596
124,서울특별시 강남구 역삼로 307,37.4990489,127.0448764
125,서울특별시 강남구 역삼로 309,37.50029916,127.046905
126,서울특별시 강남구 역삼로 314,37.49961513,127.0493026
127,서울특별시 강남구 역삼로 315-1,37.50056843,127.050071
128,서울특별시 강남구 역삼로 436,37.50162313,127.0547985
129,서울특별시 강남구 영동대로 210,37.49885567,127.0713671
130,서울특별시 강남구 영동대로 220,37.49992398,127.0706277
131,서울특별시 강남구 영동대로 230,37.50096015,127.0684712
132,서울특별시 강남구 영동대로 640,37.51839825,127.0595493
133,서울특별시 강남구 영동대로112길 15,37.51552482,127.0617288
134,서울특별시 강남구 영동대로112길 67,37.51621674,127.0658304
135,서울특별시 강남구 영동대로114길 56,37.51662835,127.0641341
136,서울특별시 강남구 영동대로114길 56,37.51662835,127.0641341
137,서울특별시 강남구 영동대로114길 56,37.51662835,127.0641341
