,address,station3,market,school,bank,cafe,hospital
72,서울특별시 강남구 삼성로85길 11,0.0,60.0,20.0,64.0,189.0,84.0
73,서울특별시 강남구 선릉로 120,100.0,110.0,120.0,12.0,28.0,46.0
74,서울특별시 강남구 선릉로 206,100.0,110.0,160.0,25.0,30.0,41.0
75,서울특별시 강남구 선릉로 221,20.0,80.0,120.0,16.0,29.0,51.0
76,서울특별시 강남구 선릉로 222,70.0,120.0,120.0,26.0,76.0,83.0
77,서울특별시 강남구 선릉로 423,70.0,60.0,60.0,63.0,184.0,144.0
78,서울특별시 강남구 선릉로 748,0.0,20.0,40.0,29.0,173.0,164.0
79,서울특별시 강남구 선릉로 8,0.0,10.0,20.0,4.0,6.0,8.0
80,서울특별시 강남구 선릉로112길 53,60.0,50.0,40.0,24.0,84.0,41.0
81,서울특별시 강남구 선릉로126길 22,40.0,40.0,80.0,28.0,101.0,112.0
82,서울특별시 강남구 선릉로130길 19,100.0,40.0,60.0,28.0,120.0,96.0
83,서울특별시 강남구 선릉로130길 20,100.0,40.0,80.0,28.0,108.0,93.0
84,서울특별시 강남구 선릉로69길 19,50.0,80.0,60.0,27.0,77.0,92.0
85,서울특별시 강남구 선릉로69길 20,20.0,70.0,100.0,27.0,92.0,97.0
86,서울특별시 강남구 선릉로90길 56,40.0,60.0,0.0,67.0,192.0,110.0
87,서울특별시 강남구 압구정로 113,0.0,10.0,40.0,7.0,67.0,26.0
88,서울특별시 강남구 압구정로 151,20.0,10.0,60.0,26.0,102.0,271.0
89,서울특별시 강남구 압구정로 309,0.0,10.0,60.0,11.0,23.0,48.0
90,서울특별시 강남구 압구정로 313,20.0,10.0,80.0,23.0,125.0,102.0
91,서울특별시 강남구 압구정로 401,50.0,10.0,60.0,15.0,92.0,100.0
92,서울특별시 강남구 압구정로11길 17,0.0,10.0,60.0,10.0,70.0,41.0
93,서울특별시 강남구 압구정로29길 69,0.0,10.0,0.0,5.0,20.0,4.0
94,서울특별시 강남구 압구정로29길 71,0.0,10.0,40.0,3.0,8.0,3.0
95,서울특별시 강남구 압구정로42길 78,0.0,20.0,20.0,38.0,240.0,217.0
96,서울특별시 강남구 압구정로48길 15,50.0,10.0,40.0,32.0,217.0,191.0
97,서울특별시 강남구 압구정로50길 28,20.0,10.0,20.0,30.0,224.0,210.0
98,서울특별시 강남구 양재대로55길 12,0.0,20.0,20.0,9.0,14.0,10.0
99,서울특별시 강남구 언주로 107,0.0,50.0,60.0,10.0,14.0,10.0
100,서울특별시 강남구 언주로 110,20.0,40.0,60.0,28.0,24.0,25.0
101,서울특별시 강남구 언주로 117,20.0,50.0,40.0,34.0,46.0,33.0
102,서울특별시 강남구 언주로 118,20.0,50.0,80.0,31.0,30.0,26.0
103,서울특별시 강남구 언주로 123,50.0,60.0,60.0,34.0,44.0,32.0
104,서울특별시 강남구 언주로 203,20.0,50.0,80.0,35.0,36.0,34.0
105,서울특별시 강남구 언주로 332,0.0,60.0,80.0,20.0,66.0,69.0
106,서울특별시 강남구 언주로 420,0.0,60.0,60.0,53.0,157.0,54.0
107,서울특별시 강남구 언주로 427,0.0,40.0,20.0,60.0,181.0,46.0
108,서울특별시 강남구 언주로 604,40.0,20.0,20.0,30.0,113.0,53.0
109,서울특별시 강남구 언주로116길 6,20.0,20.0,20.0,25.0,123.0,52.0
110,서울특별시 강남구 언주로122길 25,0.0,30.0,20.0,33.0,119.0,92.0
111,서울특별시 강남구 언주로130길 30,40.0,30.0,20.0,37.0,132.0,104.0
112,서울특별시 강남구 언주로146길 18,20.0,40.0,20.0,38.0,157.0,134.0
113,서울특별시 강남구 언주로29길 34,50.0,50.0,40.0,18.0,65.0,27.0
114,서울특별시 강남구 언주로30길 10,20.0,60.0,80.0,31.0,31.0,26.0
115,서울특별시 강남구 언주로30길 13,20.0,50.0,80.0,32.0,29.0,25.0
116,서울특별시 강남구 언주로30길 26,40.0,60.0,100.0,32.0,29.0,31.0
117,서울특별시 강남구 언주로30길 56,40.0,50.0,100.0,31.0,27.0,31.0
118,서울특별시 강남구 언주로30길 57,100.0,80.0,140.0,31.0,29.0,34.0
119,서울특별시 강남구 언주로85길 13,0.0,40.0,20.0,60.0,170.0,47.0
120,서울특별시 강남구 언주로86길 11,0.0,40.0,60.0,55.0,173.0,73.0
121,서울특별시 강남구 언주로86길 12,20.0,50.0,60.0,56.0,156.0,86.0
122,서울특별시 강남구 역삼로 109,20.0,60.0,40.0,63.0,224.0,159.0
123,서울특별시 강남구 역삼로 306,0.0,60.0,80.0,31.0,86.0,70.0
124,서울특별시 강남구 역삼로 307,0.0,60.0,80.0,35.0,98.0,36.0
125,서울특별시 강남구 역삼로 309,0.0,60.0,60.0,54.0,121.0,83.0
126,서울특별시 강남구 역삼로 314,20.0,70.0,100.0,36.0,110.0,104.0
127,서울특별시 강남구 역삼로 315-1,20.0,70.0,80.0,41.0,131.0,131.0
128,서울특별시 강남구 역삼로 436,0.0,70.0,20.0,42.0,170.0,83.0
129,서울특별시 강남구 영동대로 210,50.0,80.0,0.0,5.0,7.0,4.0
130,서울특별시 강남구 영동대로 220,20.0,80.0,0.0,4.0,11.0,4.0
131,서울특별시 강남구 영동대로 230,0.0,70.0,0.0,5.0,22.0,9.0
132,서울특별시 강남구 영동대로 640,20.0,40.0,60.0,14.0,35.0,31.0
133,서울특별시 강남구 영동대로112길 15,50.0,50.0,20.0,26.0,68.0,22.0
134,서울특별시 강남구 영동대로112길 67,0.0,20.0,20.0,8.0,26.0,8.0
135,서울특별시 강남구 영동대로114길 56,20.0,20.0,40.0,13.0,32.0,15.0
136,서울특별시 강남구 영동대로114길 56,20.0,20.0,40.0,13.0,32.0,15.0
137,서울특별시 강남구 영동대로114길 56,20.0,20.0,40.0,13.0,32.0,15.0
138,서울특별시 강남구 영동대로128길 5,20.0,20.0,60.0,15.0,31.0,22.0
139,서울특별시 강남구 영동대로138길 12,0.0,0.0,0.0,17.0,37.0,24.0
140,서울특별시 강남구 영동대로142길 16,0.0,0.0,0.0,20.0,37.0,21.0
141,서울특별시 강남구 영동대로142길 25,0.0,0.0,0.0,18.0,44.0,17.0
142,서울특별시 강남구 영동대로57길 28,0.0,90.0,20.0,9.0,41.0,24.0
143,서울특별시 강남구 영동대로72길 10,0.0,30.0,60.0,13.0,44.0,5.0
144,서울특별시 강남구 일원로 120,50.0,20.0,60.0,12.0,9.0,19.0
145,서울특별시 강남구 일원로 127,50.0,20.0,80.0,8.0,7.0,15.0
146,서울특별시 강남구 자곡로 101,0.0,40.0,60.0,1.0,3.0,4.0
147,서울특별시 강남구 자곡로 175,0.0,40.0,40.0,4.0,14.0,6.0
148,서울특별시 강남구 자곡로 21,0.0,50.0,20.0,1.0,1.0,0.0
